,placa,loc_latitude,loc_longitude,count
193,FTO8228,3894,8600,1
194,HHY5800,7272,1070,1
195,HCY3050,132,5022,1
196,NBR3323,7122,5194,1
197,OJG0279,7723,5667,1
198,OXU5610,9222,1778,1
199,IZG0382,1289,9660,2
200,HXY5608,472,5552,1
201,ODI5026,3366,9194,1
202,ODI7839,472,5552,1
203,NOF8572,1000,1194,1
204,PSM6081,2254,1257,1
205,HCY0608,8112,2056,2
206,OJG0279,1308,9661,2
207,NTU4828,3861,7458,1
208,POZ0646,1308,9661,2
209,OME2316,8053,4258,1
210,HDX6203,1772,1190,1
211,AOO6950,9666,833,2
212,OBI9038,4738,6727,1
213,NRU9843,1638,6794,1
214,NOE3813,3476,8839,1
215,OXI2667,9654,4859,2
216,AOO6950,6794,1377,1
217,HFX7110,5010,8083,1
218,MHN7958,4361,2544,1
219,KXO0392,5500,4917,1
220,BRR3542,7122,5194,1
221,ODC1891,9222,5020,1
222,OAA9112,2555,528,1
223,NRU4988,3522,1867,1
224,NQU4529,2403,9277,1
225,OGC4115,8112,2056,1
226,PTD6955,2422,8622,1
227,NYP6251,9612,8692,1
228,NDR9808,1804,8735,1
229,BRR8242,9222,5020,1
230,PGM1790,9711,2269,4
231,PON7460,2833,1278,1
232,OPR1796,5825,9794,3
233,LBC1175,944,1277,1
234,MSY8569,2672,342,1
235,OPE0986,6333,6028,1
236,LIP1640,500,9278,1
237,IHI2669,472,5552,1
238,HKX7228,6638,2170,1
239,OZH6602,9222,5020,1
240,OCT4347,3522,1867,1
241,JXI9598,7122,5194,1
242,HGU0207,8188,8761,1
243,NDU0246,5000,4778,1
244,OUM0479,9654,4859,1
245,OEN5274,3944,7554,1
246,APX4786,3861,7458,1
247,OSU4904,6967,2919,1
248,ODR1975,2633,875,1
249,BIS1273,4332,2860,1
250,ODC2404,2557,2056,1
251,IGJ1161,8112,2056,1
252,AZQ3757,7428,4378,1
253,LRR6366,8711,2753,1
254,OKI0959,8053,4258,1
255,NDU9329,802,2054,1
256,MAR7355,9994,982,1
257,OIS3805,2422,172,1
258,AII1111,7134,4709,1
259,HUV5291,6782,800,1
260,HDX7409,1708,1402,1
261,JBI4051,1382,4248,1
262,EUD4152,132,5022,1
263,OSE8000,4738,6727,1
264,PQN6164,9654,4859,1
265,KAD6008,4366,3733,1
266,NLQ8692,8525,2161,1
267,OQI5899,7134,4709,1
268,HBY8425,9612,8692,1
