,placa,loc_latitude,loc_longitude,count
3304,JBS1341,3538,70,1
3305,NLU0403,6364,7267,1
3306,HYI9749,4400,5106,1
3307,JOG6044,2422,8622,1
3308,IRA2039,6364,7267,1
3309,POZ6441,1289,9660,1
3310,ONR1423,9422,5310,1
3311,HZY1572,7833,7444,1
3312,BDO0257,2556,2528,1
3313,OQF4653,1024,3153,2
3314,BBI4261,3416,1233,1
3315,HAW2536,9666,833,1
3316,HGU0207,4400,5106,1
3317,OYR0715,4316,3639,2
3318,PDD1143,1010,9237,1
3319,NSE7786,2422,8622,1
3320,OUR1821,7723,5667,1
3321,PSN6821,1772,1190,2
3322,NYO7177,6364,7267,1
3323,BJM5140,6050,6869,1
3324,NDI5350,7210,1962,1
3325,NOU2369,4400,5106,1
3326,NYL1321,4042,2203,1
3327,HOU1811,7944,9952,1
3328,PRN0070,9994,982,1
3329,OBI9038,53,5909,1
3330,BKX7031,2634,9246,1
3331,OGC6912,53,5909,1
3332,NJN2728,2557,2056,1
3333,BGM0156,7260,9133,1
3334,OGU7088,8188,8761,1
3335,LTS7171,1000,833,1
3336,OUM0479,7428,4378,1
3337,NRU1816,7833,7444,2
3338,OZH2189,5303,7658,1
3339,OLS2179,4750,5075,4
3340,NSU5966,5000,4778,1
3341,OKI5555,2434,2172,1
3342,HMW0413,1308,9661,1
3343,OTR5456,944,1277,1
3344,PDD3330,2833,1278,1
3345,AAC4008,2557,2056,1
3346,NSU1003,7833,7444,1
3347,OOR8113,8188,8761,1
3348,OMG0026,224,9684,1
3349,OFI1282,3500,6325,1
3350,HXT3999,2634,9246,1
3351,OEC5479,2557,2056,1
3352,NTQ2112,8412,89,1
3353,HTY1393,2422,8622,1
3354,PRE3670,8653,2233,1
3355,ORJ1221,9666,833,1
3356,PWM8734,9994,982,1
3357,HRU5773,1772,1190,1
3358,HEX3074,6072,9488,1
3359,OZH2189,764,6804,1
3360,JYI8108,9994,982,1
3361,OTM4616,5500,4917,1
3362,OTF9140,3088,6052,1
3363,NDO5294,6072,9488,1
3364,PGW0208,9222,5020,1
3365,PDM4462,8256,9058,1
3366,OXC7189,9994,982,1
3367,ORK6785,0,6194,1
3368,GOW8783,2850,4686,1
3369,NDU5168,2850,4686,1
3370,HVU7057,9422,5310,1
3371,LWO1596,6364,7267,1
3372,OFS1943,4316,3639,1
3373,ORR2039,5880,8554,1
3374,NCY1445,472,5552,1
3375,OHI0245,3596,4244,1
3376,NKQ6580,4332,2860,1
3377,OYR5284,5328,2522,1
3378,NQH6401,4738,6727,1
3379,OGT9509,2850,4686,1
3380,HIX3407,4400,5106,1
3381,API8300,2088,6750,1
3382,HOU2084,6782,800,1
3383,PEM2083,3500,6325,1
3384,IAT2548,0,0,1
3385,OFB1957,5472,7792,1
3386,JYI8108,7944,8369,1
3387,PID8364,2256,9146,1
3388,ODC6396,1412,9134,1
3389,PEQ8923,5328,2522,1
3390,OEB8525,3976,6305,1
3391,NNQ1754,9388,472,1
3392,EWE5016,9222,5020,1
3393,OUS1449,6072,9488,1
3394,OED2263,2403,9277,1
3395,OZR0852,4361,2544,1
3396,JMM1946,9654,4859,1
3397,PQN6164,5472,7792,1
3398,OQI4842,53,5909,1
3399,OEZ7199,2556,2528,1
3400,OBI8947,1289,9660,1
3401,PJN0738,2850,4686,1
3402,HRX8745,132,5022,1
3403,BIS1233,4738,6727,1
3404,OMK4914,3944,7554,1
3405,HPU4596,7262,8878,1
3406,ORG3841,1638,6794,1
3407,ORF0008,7272,1070,1
3408,OLS2179,1638,6794,2
3409,OHC7261,4111,0,1
3410,HEU3324,8711,2753,1
3411,PXM9609,53,5909,1
3412,OJS1438,2634,9246,1
3413,MOY3856,8053,4258,1
3414,PIK7483,4082,6528,1
3415,GVR2057,6842,4782,1
3416,OUM6024,4944,9278,1
3417,PCD8112,5256,7837,1
3418,IXO1483,5303,7658,1
